Row_ID;Sex;How satisfied are you with the amount of space allocated to you and your family in the camp?;How satisfied are you with the level of hygiene and sanitation in the camp?;Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?;How satisfied are you with the quality of healthcare you and your family are receiving in the camp?;How satisfied are you with the level of psychological support you and your family are receiving in the camp?;How satisfied are you with the level of social support you and your family receive from neighbours and friends?;Do you think you are able to exercise your religion freely in the camp?;How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?;Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?;Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?;Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?;How satisfied are you with the quality of education you and your family are receiving in the camp?;How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?;How satisfied are you with the income your family makes in the camp?;How satisfied are you with the overall help you and your family have been receiving from NGOs?;How do you mostly hear about the news?;Who do you consider the most important person in your camp?;Other than family, who do you go to when you have a problem?;Do you have enough good friends in the camp?;Do you consider any Bangladeshis as your friends?;Do you believe Rohingya and Bangladeshis can be good friends?;Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?;Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?;How much do you trust the police/military/guards of camps in Bangladesh?;How much do you trust the NGOs in the camp?;How much do you trust the Majhis?;How much do you trust the Imam (religious leader)?;How often do you talk with Rohingya people outside Bangladesh and Myanmar?;In what countries are they now?;How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?;In what countries are they now?;Do you often feel stressed or overwhelmed by your situation?;Do you prefer talking about your problems with others or trying to forget what you are going through?;Do you prefer solving your problems alone or by asking others for their help?;Does talking about your every day problems with others make you feel better?;How comfortable do you feel talking about your problems with NGO workers?;Do you think the situation in the camp is better now or 6 months ago?;Do you smoke cigarettes?;How many cigarettes a day on average?;Did you also smoke before coming to Bangladesh?;Do you chew betel nuts?;How many betel nuts a day on average?;Did you also chew before coming to Bangladesh?;Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?;Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?;Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?;Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?;Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?;How often do you hear people talking about violent groups in the camp?;How do you think violence in the camp has changed over time?;Do you think that sexual harassment in the camp happens often?;Where does sexual harassment happen the most?;How afraid are you to leave your child unattended in the camp after it gets dark?;Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?;Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?;To what extent do you feel at home in the camp in Bangladesh now?;Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?;Are you willing to go?;Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?;If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?;Do you think that repatriation to Myanmar will happen in the next two years?;Do you personally know any Rohingya who left Bangladesh in the last six months?;Where did they go?;Have you thought about leaving to go to another country other than Myanmar and Bangladesh?;How scared are you to leave for another country?;Where do you think you will be in six months from now?;If you could choose any country in the world, other than Myanmar, where would you go?;Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?;How do you feel about the future?
11604;Male;Unsatisfied;Satisfied;No;Unsatisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;N/A;No;Unsatisfied;Unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;Quite a bit of trust;Quite a bit of trust;Neither trust nor distrust;A lot of trust;Once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;Yes;No;No;Never;Decreased;No;;I don't have children - does not apply;No;;Not at all;N/A;;No;Yes;No;No;;No;scared;Can't imagine/I am not sure where I will be;Australia;Australia, Canada, Saudi Arabia;positive
11605;Male;Unsatisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;N/A;Unsatisfied;Neither satisfied nor unsatisfied;Social media (e.g. Facebook, Twitter, Instagram);Block Mahji;Block Majhi;No;Yes;Yes;No;;A lot of trust;Quite a bit of trust;No trust at all;A lot of trust;Once a week;Malaysia, Saudi Arabia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;20;No;No;;;No;;No;;N/A;Never;Decreased;No;;Very afraid;No;;Not at all;N/A;;No;Yes;No;No;;No;scared;Can't imagine/I am not sure where I will be;Australia, Switzerland;Australia, USA;neither positive nor negative
11612;Male;Unsatisfied;Very satisfied;No;Very unsatisfied;Unsatisfied;Unsatisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Head Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;No trust at all;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;5;Yes;Yes;6;Yes;N/A;;N/A;;N/A;Never;Decreased;No;;Very afraid;Yes;Yes;Not at all;Yes;No;No;Yes;No;No;;No;not scared;Can't imagine/I am not sure where I will be;Canada, USA;Australia, Saudi Arabia, USA;negative
11613;Male;Unsatisfied;Satisfied;Yes;Very unsatisfied;Unsatisfied;Unsatisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;No trust at all;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;20;Yes;Yes;10;Yes;N/A;;N/A;;N/A;Never;Decreased;No;;Very afraid;No;;Not at all;Yes;No;Yes;Yes;No;No;;No;scared;Can't imagine/I am not sure where I will be;Saudi Arabia, USA;Malaysia, Saudi Arabia, USA;positive
11617;Female;Unsatisfied;Satisfied;Yes;Very unsatisfied;Satisfied;Neither satisfied nor unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Satisfied;Unsatisfied;Unsatisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;No;;Quite a bit of trust;Little trust;Little trust;A lot of trust;Never;;Never;;Yes;trying to forget;I solve my problems myself;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;3;Yes;N/A;;N/A;;No;A few times a month;Decreased a lot;I don't want to answer;;Very afraid;No;;Very little;Yes;No;No;Yes;Yes;No;;Yes;scared;Can't imagine/I am not sure where I will be;Malaysia;UK;very positive
11623;Female;Very unsatisfied;Satisfied;Yes;Very unsatisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;Yes;No;Satisfied;Very unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;CIC;Head Majhi;Yes;No;No;No;;Little trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Three times a month;Saudi Arabia;N/A;;No;trying to forget;I solve my problems myself;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;N/A;;N/A;;No;Never;Decreased a lot;Yes;In the streets;Afraid;No;;Somewhat;Yes;No;Yes;No;Yes;Yes;Malaysia;No;scared;Myanmar/Motherland;Canada;Canada;very positive
11624;Female;Unsatisfied;Unsatisfied;Yes;Very unsatisfied;Satisfied;Neither satisfied nor unsatisfied;Yes;Very satisfied;Yes;No;Yes;Unsatisfied;Very unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;CIC;Army;Yes;No;Yes;No;;No trust at all;Quite a bit of trust;Little trust;A lot of trust;Once a month;Australia;Never;;No;trying to forget;I solve my problems myself;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;12;N/A;N/A;;No;;N/A;Never;Same;Yes;In the market;Afraid;Yes;No;Very little;Yes;No;Yes;Yes;No;No;;No;very scared;Here, in the camp;Malaysia;USA;very positive
11625;Female;Unsatisfied;Very satisfied;Yes;Very unsatisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Very unsatisfied;Satisfied;Unsatisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;N/A;A lot of trust;Once a month;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;N/A;;No;;N/A;Never;Same;Yes;In the streets;Very afraid;No;;Very little;N/A;;No;Yes;No;N/A;;No;very scared;Can't imagine/I am not sure where I will be;Canada;Canada;positive
11626;Female;Satisfied;Unsatisfied;No;Very unsatisfied;Very satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;Yes;Yes;No;;No trust at all;A lot of trust;Little trust;A lot of trust;Three times a month;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;3;No;I don't want to answer;;I don't want to answer;;Yes;A few times a month;Decreased;Yes;In the streets;Very afraid;Yes;Yes;Very little;Yes;Yes;No;Yes;No;Yes;Malaysia;No;very scared;Here, in the camp ;Canada;Canada;very positive
11627;Female;Unsatisfied;Unsatisfied;Yes;Unsatisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;Yes;Yes;Unsatisfied;Unsatisfied;Very unsatisfied;Unsatisfied;Friends and neighbours;CIC;Army, Block Majhi;Yes;Yes;No;No;;Quite a bit of trust;A lot of trust;No trust at all;A lot of trust;Three times a month;India;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;I don't want to answer;;I don't want to answer;;Yes;A few times a month;Same;Yes;In the market;I don't have children - does not apply;Yes;No;Very little;Yes;No;No;No;No;No;;Yes;scared;Myanmar/Motherland;Australia;Canada;very positive
11628;Female;Unsatisfied;Very satisfied;Yes;Satisfied;Unsatisfied;Neither satisfied nor unsatisfied;Yes;Very satisfied;Yes;No;No;Very unsatisfied;Satisfied;Unsatisfied;Unsatisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Head Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;3;Yes;No;;No;;I don't want to answer;A few times a year;Decreased a lot;Yes;In the streets;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;USA;USA;positive
11629;Female;Unsatisfied;Satisfied;Yes;Very unsatisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;No;No;;Little trust;A lot of trust;Little trust;A lot of trust;Never;;Never;;No;trying to forget;I ask for help;No;Comfortable enough;same-nothing has changed;No;;;Yes;20;Yes;I don't want to answer;;No;;No;Never;Decreased a lot;I don't want to answer;;Afraid;Yes;No;Very little;Yes;No;No;No;No;No;;No;very scared;Another (peaceful) place/country;Canada;Canada;very positive
11630;Female;Satisfied;Satisfied;Yes;Unsatisfied;Very satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;No;No;No;;A lot of trust;A lot of trust;Little trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;No;;No;;I don't want to answer;Never;Decreased;I don't want to answer;;Not afraid;Yes;No;To a great extent;Yes;No;No;No;No;No;;Yes;scared;Here, in the camp ;Saudi Arabia;Australia;positive
11631;Female;Satisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Neighbour;Yes;No;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;Three times a month;Malaysia;Never;;Yes;talking;I ask for help;Yes;Uncomfortable;same-nothing has changed;No;;;Yes;15;Yes;I don't want to answer;;I don't want to answer;;Yes;A few times a month;Same;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;Yes;not scared;Here, in the camp ;USA;USA;very positive
11632;Female;Unsatisfied;Unsatisfied;Yes;Satisfied;Very satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Very unsatisfied;Unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;No;No;;Quite a bit of trust;A lot of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I solve my problems myself;No;Very uncomfortable;six months ago;No;;;No;;;No;;I don't want to answer;;I don't want to answer;Never;Decreased a lot;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;Yes;Malaysia;No;very scared;Myanmar/Motherland;Canada;Canada;very positive
11633;Female;Unsatisfied;Satisfied;Yes;Satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;Yes;No;Quite a bit of trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;No;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Decreased;Yes;In the market;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;Yes;India;No;very scared;Here, in the camp;Saudi Arabia;Saudi Arabia;positive
11634;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Very unsatisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Head Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Same;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Canada;Canada;very positive
11635;Female;Satisfied;Satisfied;Yes;Very unsatisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;Neighbor;Block Majhi;Yes;Yes;Yes;Yes;No;Quite a bit of trust;Little trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;12;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;Never;Same;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;Australia;Australia;very positive
11637;Female;Unsatisfied;Satisfied;Yes;Very unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;No;No;;No trust at all;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;3;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Same;I don't want to answer;;Afraid;No;;To a great extent;Yes;No;No;No;No;No;;Yes;scared;Here, in the camp;Malaysia;Malaysia;positive
11639;Female;Unsatisfied;Unsatisfied;Yes;Satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Unsatisfied;Family;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;Quite a bit of trust;A lot of trust;Little trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;six months ago;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Increased;Yes;In the streets;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;Yes;scared;Here, in the camp;Canada;Canada;neither positive nor negative
11640;Female;Unsatisfied;Unsatisfied;Yes;Satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I solve my problems myself;No;Comfortable enough;six months ago;No;;;Yes;3;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a week;Increased a lot;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;Yes;No;;Yes;not scared;Here, in the camp;Saudi Arabia;Saudi Arabia;very positive
11642;Female;Unsatisfied;Unsatisfied;No;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;CIC;Block Majhi;Yes;Yes;Yes;No;;Quite a bit of trust;A lot of trust;No trust at all;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;Never;Same;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;UK;UK;positive
